ID	Forward	Reverse	home_location	home_sequence	hybrid
8_34_8_P1_1	8_34_8_P1_1_Fw	8_34_8_P1_1_Rv	-	-	CAST-129S
8_34_8_P2_1	8_34_8_P2_1_Fw	8_34_8_P2_1_Rv	-	-	CAST-129S
8_34_8_P3_1	8_34_8_P3_1_Fw	8_34_8_P3_1_Rv	-	-	CAST-129S
8_34_8_P4_1	8_34_8_P4_1_Fw	8_34_8_P4_1_Rv	-	-	CAST-129S
8_34_8_P5_1	8_34_8_P5_1_Fw	8_34_8_P5_1_Rv	-	-	CAST-129S
8_34_8_P6_1	8_34_8_P6_1_Fw	8_34_8_P6_1_Rv	-	-	CAST-129S
8_34_8_CTRL_1	8_34_8_CTRL_1_Fw	8_34_8_CTRL_1_Rv	-	-	CAST-129S
8_34_8_CTRL_6	8_34_8_CTRL_6_Fw	8_34_8_CTRL_6_Rv	-	-	CAST-129S
8_34_8_P1_2	8_34_8_P1_2_Fw	8_34_8_P1_2_Rv	-	-	CAST-129S
8_34_8_P2_2	8_34_8_P2_2_Fw	8_34_8_P2_2_Rv	-	-	CAST-129S
8_34_8_P3_2	8_34_8_P3_2_Fw	8_34_8_P3_2_Rv	-	-	CAST-129S
8_34_8_P4_2	8_34_8_P4_2_Fw	8_34_8_P4_2_Rv	-	-	CAST-129S
8_34_8_P5_2	8_34_8_P5_2_Fw	8_34_8_P5_2_Rv	-	-	CAST-129S
8_34_8_P6_2	8_34_8_P6_2_Fw	8_34_8_P6_2_Rv	-	-	CAST-129S
8_34_8_CTRL_2	8_34_8_CTRL_2_Fw	8_34_8_CTRL_2_Rv	-	-	CAST-129S
8_34_8_CTRL_7	8_34_8_CTRL_7_Fw	8_34_8_CTRL_7_Rv	-	-	CAST-129S
8_34_8_P1_3	8_34_8_P1_3_Fw	8_34_8_P1_3_Rv	-	-	CAST-129S
8_34_8_P2_3	8_34_8_P2_3_Fw	8_34_8_P2_3_Rv	-	-	CAST-129S
8_34_8_P3_3	8_34_8_P3_3_Fw	8_34_8_P3_3_Rv	-	-	CAST-129S
8_34_8_P4_3	8_34_8_P4_3_Fw	8_34_8_P4_3_Rv	-	-	CAST-129S
8_34_8_P5_3	8_34_8_P5_3_Fw	8_34_8_P5_3_Rv	-	-	CAST-129S
8_34_8_P6_3	8_34_8_P6_3_Fw	8_34_8_P6_3_Rv	-	-	CAST-129S
8_34_8_CTRL_3	8_34_8_CTRL_3_Fw	8_34_8_CTRL_3_Rv	-	-	CAST-129S
8_34_8_CTRL_8	8_34_8_CTRL_8_Fw	8_34_8_CTRL_8_Rv	-	-	CAST-129S
8_34_8_P1_4	8_34_8_P1_4_Fw	8_34_8_P1_4_Rv	-	-	CAST-129S
8_34_8_P2_4	8_34_8_P2_4_Fw	8_34_8_P2_4_Rv	-	-	CAST-129S
8_34_8_P3_4	8_34_8_P3_4_Fw	8_34_8_P3_4_Rv	-	-	CAST-129S
8_34_8_P4_4	8_34_8_P4_4_Fw	8_34_8_P4_4_Rv	-	-	CAST-129S
8_34_8_P5_4	8_34_8_P5_4_Fw	8_34_8_P5_4_Rv	-	-	CAST-129S
8_34_8_P6_4	8_34_8_P6_4_Fw	8_34_8_P6_4_Rv	-	-	CAST-129S
8_34_8_CTRL_4	8_34_8_CTRL_4_Fw	8_34_8_CTRL_4_Rv	-	-	CAST-129S
8_34_8_CTRL_9	8_34_8_CTRL_9_Fw	8_34_8_CTRL_9_Rv	-	-	CAST-129S
8_34_8_P1_5	8_34_8_P1_5_Fw	8_34_8_P1_5_Rv	-	-	CAST-129S
8_34_8_P2_5	8_34_8_P2_5_Fw	8_34_8_P2_5_Rv	-	-	CAST-129S
